date,appliances,lights,t1,rh_1,t2,rh_2,t3,rh_3,t4,rh_4,t5,rh_5,t6,rh_6,t7,rh_7,t8,rh_8,t9,rh_9,t_out,press_mm_hg,rh_out,wind_speed,visibility,tdew_point,weekstatus,day_of_week,hour,hour_category,energy_consuption
1/12/2016 0:00,40,10,21.39,44.56,20.79,43.86,20.20,45.66,20.63,46.79,19.20,50.53,5.59,88.63,17.70,43.76,19.39,51.16,16.89,45.70,5.30,736.90,92.00,6.00,22.00,4.10,Weekday,Tuesday,0,Morning,50
1/13/2016 0:00,50,0,19.43,43.20,18.70,43.09,19.89,44.90,19.00,43.59,17.29,51.40,5.87,82.56,17.84,42.49,18.70,51.63,17.00,46.66,6.00,747.40,80.00,8.00,40.00,2.70,Weekday,Wednesday,0,Morning,50
1/15/2016 0:00,50,0,23.67,39.66,22.79,39.47,21.20,43.06,18.70,44.20,18.75,55.79,1.39,89.47,18.60,41.27,19.70,48.83,17.10,46.00,0.80,749.30,94.00,9.00,52.00,0.00,Weekday,Friday,0,Morning,50
1/16/2016 0:00,50,0,23.00,40.00,22.15,38.79,21.00,41.90,21.20,43.79,20.29,60.59,2.00,94.47,18.79,40.36,20.60,47.43,17.89,47.06,2.40,761.10,97.00,3.00,28.00,1.90,Weekend,Saturday,0,Morning,50
1/17/2016 0:00,30,0,22.50,39.36,21.53,38.09,21.46,42.20,21.18,41.07,18.60,52.79,0.40,96.37,19.70,38.97,21.43,46.06,17.70,41.73,0.50,764.50,96.00,2.00,20.00,0.00,Weekend,Sunday,0,Morning,30
1/18/2016 0:00,60,10,21.82,39.90,20.23,40.00,20.32,39.79,21.17,39.86,19.50,67.89,-4.65,88.81,20.26,36.69,21.70,44.40,17.60,38.40,-2.80,763.70,86.00,2.00,25.00,-4.90,Weekday,Monday,0,Morning,70
1/19/2016 0:00,50,20,20.39,39.09,19.20,39.23,20.00,40.33,20.29,38.26,17.56,65.23,-5.89,82.82,17.98,33.48,20.10,43.99,16.89,39.09,-4.50,756.60,87.00,1.00,65.00,-6.30,Weekday,Tuesday,0,Morning,70
1/20/2016 0:00,40,0,19.79,38.70,18.89,39.09,19.20,39.09,18.50,37.53,17.79,53.33,-5.98,82.89,17.46,32.06,20.20,42.93,16.39,39.36,-4.50,758.80,94.00,1.00,60.00,-5.40,Weekday,Wednesday,0,Morning,40
1/21/2016 0:00,60,0,19.76,38.13,19.29,37.86,18.70,39.70,19.26,38.00,16.89,58.00,0.60,96.76,16.20,33.48,19.70,45.16,15.89,40.50,0.00,761.80,88.00,2.00,61.00,-1.80,Weekday,Thursday,0,Morning,60
1/23/2016 0:00,40,0,17.60,41.26,16.60,41.79,17.89,40.26,15.60,40.90,15.74,48.50,4.56,99.69,15.89,36.30,17.00,44.02,15.39,40.59,4.50,763.00,100.00,5.00,8.00,4.50,Weekend,Saturday,0,Morning,40
1/24/2016 0:00,60,0,19.10,41.83,18.60,41.29,18.10,43.83,15.89,47.59,15.42,51.08,5.47,99.90,15.57,40.09,19.60,50.80,15.10,46.70,5.10,769.60,92.00,5.00,23.00,3.90,Weekend,Sunday,0,Morning,60
1/25/2016 0:00,50,0,21.46,42.36,20.63,41.62,20.29,44.20,18.10,47.09,18.38,58.01,8.39,99.90,16.25,44.17,18.33,50.02,16.29,49.70,8.00,767.00,95.00,2.00,62.00,7.20,Weekday,Monday,0,Morning,50
1/26/2016 0:00,250,20,21.29,43.09,20.79,42.50,20.57,44.50,21.13,44.77,17.91,51.06,10.37,97.77,17.79,42.16,18.70,47.89,17.00,47.43,10.30,764.10,84.00,4.00,27.00,7.70,Weekday,Tuesday,0,Morning,270
1/27/2016 0:00,50,20,21.29,45.36,20.79,44.20,20.79,45.06,21.50,44.50,18.00,69.89,9.69,88.43,18.49,45.23,17.87,49.18,17.10,47.59,9.90,759.50,80.00,10.00,40.00,6.50,Weekday,Wednesday,0,Morning,70
